book_id,authors,title,Genres
43,"Charlotte Brontë, Michael Mason",Jane Eyre,Young-Age;Biography
44,Nicholas Sparks,The Notebook,Romance;Drama
45,Yann Martel,Life of Pi,Fantasy;Drama
46,Sara Gruen,Water for Elephants,Romance;Fiction;History
47,Markus Zusak,The Book Thief,Young-Age;History;Fiction
48,Ray Bradbury,Fahrenheit 451,Fantasy;Fiction
49,Stephenie Meyer,"New Moon (Twilight, #2)",Fantasy
50,Shel Silverstein,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Poetry;Kids
51,Cassandra Clare,City of Bones,Fantasy;Kids;Horror
52,Stephenie Meyer,Eclipse,Fantasy
53,Christopher Paolini,Eragon,Fantasy
54,Douglas Adams,The Hitchhiker's Guide to the Galaxy,Fantasy;Fiction
55,Aldous Huxley,Brave New World,Fantasy;Fiction
56,Stephenie Meyer,Breaking Dawn,Fantasy
57,Sue Monk Kidd,The Secret Life of Bees,Young-Age;History;Drama
58,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,History;Young-Age
59,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,Kids;Fiction
60,Mark Haddon,The Curious Incident of the Dog in the Night-Time,Young-Age;Fiction
61,Paula Hawkins,The Girl on the Train,Thriller;Psychological
62,Philip Pullman,Northern Lights,Fantasy
63,"Emily Brontë, Richard J. Dunn",Wuthering Heights,Romance;Drama;Fiction
64,Jodi Picoult,My Sister's Keeper,Drama;Domestic
65,Kurt Vonnegut Jr.,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Fiction
66,Margaret Mitchell,Gone with the Wind,Romance;History
67,Khaled Hosseini,A Thousand Splendid Suns,Drama;History
68,Stephen Chbosky,The Perks of Being a Wallflower,Fiction;Young-Age
69,Veronica Roth,Insurgent,Fantasy;Drama
70,Orson Scott Card,Ender's Game,SciFi
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","Frankenstein; or, The Modern Prometheus",Horror;Fiction;SciFi
72,Stephen King,The Shining,Horror;Classic;Thriller
73,Stephenie Meyer,The Host,Romance;Thriller
74,John Green,Looking for Alaska,Kids;Thriller
75,Helen Fielding,Bridget Jones's Diary,Comedy;Romance;Drama
76,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,Romance
77,"Louis Sachar, Louis Sachar",Holes,Comedy;Drama
78,Lauren Weisberger,The Devil Wears Prada,Drama;Romance
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Ὀδύσσεια,Poetry
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Le Petit Prince,Classic;Young-Age;Psychological
81,Jeannette Walls,The Glass Castle,Biography
82,Jon Krakauer,Into the Wild,Biography
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,History;Fiction;Drama
84,Michael Crichton,Jurassic Park,SciFi;Thriller;Fantasy
85,Shel Silverstein,The Giving Tree,Kids
86,John Grisham,A Time to Kill,Thriller
87,"Elie Wiesel, Marion Wiesel",Un di Velt Hot Geshvign,Biography
88,John Green,Paper Towns,Kids;Drama
89,William Goldman,The Princess Bride,Romance;Drama
90,S.E. Hinton,The Outsiders,Young-Age;Fiction
91,James Dashner,The Maze Runner,Young-Age;SciFi
92,"Steven D. Levitt, Stephen J. Dubner",Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Self-Help;Academic
93,Frances Hodgson Burnett,The Secret Garden,Kids
94,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad,Fantasy
95,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,Fiction
96,E.L. James,Fifty Shades Freed,Erotic;Drama
97,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,Horror;Fantasy
98,"Stieg Larsson, Reg Keeland",Flickan som lekte med elden,Thriller;Drama
99,E.L. James,Fifty Shades Darker,Erotic;Drama
100,Barbara Kingsolver,The Poisonwood Bible,History;Fiction
101,David Sedaris,Me Talk Pretty One Day,Biography
102,Maurice Sendak,Where the Wild Things Are,Kids;Fantasy
103,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo,History;Fiction
104,Cormac McCarthy,The Road,Fantasy;Fiction
105,Veronica Roth,Allegiant,Fantasy;Drama
106,Tina Fey,Bossypants,Biography
107,Nicholas Sparks,A Walk to Remember,Romance;Drama
108,Sophie Kinsella,Confessions of a Shopaholic,Romance;Drama
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,Drama;History;Classic
110,George R.R. Martin,A Clash of Kings,Fantasy
111,Kim Edwards,The Memory Keeper's Daughter,Fantasy
112,Jojo Moyes,Me Before You,Romance;Drama
113,Joseph Heller,Catch-22,Comedy;Fiction
114,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,Biography;Fiction
115,Jeffrey Eugenides,Middlesex,Drama
116,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,Kids;Fiction
117,Madeleine L'Engle,A Wrinkle in Time,Classic;SciFi;Young-Age;Kids
118,Amy Tan,The Joy Luck Club,Classic;Fiction
119,Margaret Atwood,The Handmaid's Tale,Drama;Fiction
120,Ann Brashares,The Sisterhood of the Traveling Pants,Kids;Fiction
121,"Vladimir Nabokov, Craig Raine",Lolita,Biography;Romance;Comedy
122,"Gregory Maguire, Douglas Smith",Wicked: The Life and Times of the Wicked Witch of the West,Fantasy;SciFi
123,John Grisham,The Firm,Drama
124,Emma Donoghue,Room,Thriller;Drama
125,"William Shakespeare, Richard Andrews, Rex Gibson","The Tragicall Historie of Hamlet, Prince of Denmark",Drama;Comedy
126,Frank Herbert,Dune,SciFi;Fantasy;Classic
127,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,Self-Help
128,Walter Isaacson,Steve Jobs,Biography
129,Ken Kesey,One Flew Over the Cuckoo's Nest,Drama;Psychological
130,Ernest Hemingway,The Old Man and the Sea,Classic;Fiction
131,John Steinbeck,The Grapes of Wrath,Drama;Fiction
132,Mitch Albom,The Five People You Meet in Heaven,Self-Help;Fiction
133,L.M. Montgomery,Anne of Green Gables,Kids;Classic
134,Cassandra Clare,City of Glass,Kids;Fantasy;Fiction;
135,George R.R. Martin,A Storm of Swords,Fantasy
136,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,Comedy;Drama
137,Diana Gabaldon,Outlander,Romance;History;Fiction
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,Romance;History;Fiction
139,Ransom Riggs,Miss Peregrine’s Home for Peculiar Children,Fantasy;Drama
140,"Stieg Larsson, Reg Keeland",Luftslottet som sprängdes,Fiction;Drama
141,Andy Weir,The Martian,Fiction;Thriller
142,Ken Follett,The Pillars of the Earth,Fiction
143,Anthony Doerr,All the Light We Cannot See,History
144,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",History
145,Dan Brown,Deception Point,Thriller;Drama
146,Donna Tartt,The Goldfinch,Thriller;Fiction
147,Jay Asher,Thirteen Reasons Why,Drama
148,Tracy Chevalier,Girl with a Pearl Earring,Romance;Drama
149,Gayle Forman,If I Stay,Romance;Drama
150,Anita Diamant,The Red Tent,History;Fiction
151,Rick Riordan,The Sea of Monsters,Fantasy;Kids
152,Nicholas Sparks,Dear John,Romance;Drama
153,Cassandra Clare,City of Ashes,Fantasy;Fiction
154,William Shakespeare,The Tragedy of Macbeth,Classic;Drama
155,J.R.R. Tolkien,The Two Towers,Fantasy;Thriller
156,Emily Giffin,Something Borrowed,Romance;Drama
157,"Dr. Seuss, לאה נאור",Green Eggs and Ham,Kids
158,"Roald Dahl, Quentin Blake",Charlie and the Chocolate Factory,Kids;Classic
159,Rick Riordan,The Battle of the Labyrinth,Fantasy;Kids;Thriller
160,Charles Dickens,Great Expectations,Classic;Fiction
161,J.R.R. Tolkien,The Return of the King,Fantasy;Thriller
162,"Albert Camus, Matthew    Ward",L’Étranger,Fiction
163,Rick Riordan,The Lost Hero,Fantasy;Fiction
164,Rainbow Rowell,Eleanor & Park,Romance;Drama
165,George R.R. Martin,A Feast for Crows,Fantasy;Thriller
166,Ally Condie,Matched,Romance;Fantasy
167,Neil Gaiman,American Gods,Fantasy;Drama
168,"Stephen King, Bernie Wrightson",The Stand,Fantasy;Fiction
169,Nicholas Sparks,The Last Song,Romance;Drama
170,Dan Brown,Digital Fortress,Thriller;Drama
171,"Jane Austen, Fiona Stafford",Emma,Classic;Comedy;Romance;Drama
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",Анна Каренина,Fiction
173,Anthony Burgess,A Clockwork Orange,Drama;Thriller
174,William Paul Young,The Shack: Where Tragedy Confronts Eternity,Drama;Fiction
175,Rick Riordan,The Last Olympian,Fantasy;Thriller;Kids
176,Stephen King,It,Horror;Thriller
177,"Fyodor Dostoyevsky, David McDuff",Преступление и наказание,Drama;Fiction
178,Sylvia Plath,The Bell Jar,Classic;Romance
179,Frank McCourt,Angela's Ashes: A Memoir,Biography
180,"Hermann Hesse, Hilda Rosner",Siddhartha,History;Self-Help
181,Truman Capote,In Cold Blood,Fiction;Thriller
182,"Kami Garcia, Margaret Stohl",Beautiful Creatures,Romance;Fantasy
183,Cassandra Clare,Clockwork Angel,Fantasy;Fiction
184,"Roald Dahl, Quentin Blake",Matilda,Kids;Fantasy
185,Erin Morgenstern,The Night Circus,Fantasy
186,Philippa Gregory,The Other Boleyn Girl,Romance;Drama
187,Scott Westerfeld,Uglies,Fantasy
188,George R.R. Martin,A Dance with Dragons,Fantasy;Thriller
189,J.R.R. Tolkien,The Lord of the Rings,Fantasy
190,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail ,Biography
191,"Alan Moore, Dave Gibbons, John Higgins",Watchmen,Fiction;Fantasy
192,Patrick Rothfuss,The Name of the Wind,Fantasy
193,Malcolm Gladwell,Outliers: The Story of Success,Self-Help
194,"Herman Melville, Andrew Delbanco, Tom Quirk","Moby Dick; or, The Whale",Classic;Fiction
195,"Mary Ann Shaffer, Annie Barrows",The Guernsey Literary and Potato Peel Pie Society,History;Fiction
196,Chuck Palahniuk,Fight Club,Comedy;Drama
197,Charlaine Harris,Dead Until Dark,Romance;Fantasy;Fiction
198,Alice Walker,The Color Purple,Drama;History;Fiction
199,John Grogan,Marley & Me: Life and Love with the World's Worst Dog,Biography
200,Agatha Christie,Ten Little Niggers,Kids;Fiction
201,Dan Brown,The Lost Symbol,Thriller;Drama
202,Becca Fitzpatrick,"Hush, Hush",Horror;Drama
203,Jamie McGuire,Beautiful Disaster,Romance;Drama
204,Charles Dickens,A Christmas Carol,Fantasy
205,Anne Rice,Interview with the Vampire,Horror;Fantasy;Drama
206,Kiera Cass,The Selection,Fantasy;Young-Age;Romance
207,Janet Evanovich,One for the Money,Crime
208,Rebecca Skloot,The Immortal Life of Henrietta Lacks,Biography
209,Thomas Harris,The Silence of the Lambs,Crime;Drama
210,Richelle Mead,Vampire Academy,Horror;Fantasy;Drama
211,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,Self-Help
212,Ian McEwan,Atonement,Psychological
213,"Franz Kafka, Stanley Corngold",Die Verwandlung,Comedy;SciFi
214,Rick Riordan,The Titan's Curse,Fantasy;Kids;Thriller
215,Ernest Cline,Ready Player One,SciFi;Fantasy
216,Garth Stein,The Art of Racing in the Rain,Fiction
217,"Erik Larson, Tony Goldwyn","The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",History
218,Sylvia Day,Bared to You,Erotic;Romance
219,"C.S. Lewis, Pauline Baynes",The Chronicles of Narnia,Fantasy;Kids
220,Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion,Fantasy;Romance
221,Dave Pelzer,"A Child Called ""It"": One Child's Courage to Survive",Biography;Kids
222,Robert Ludlum,The Bourne Identity,Thriller;Fiction
223,Eoin Colfer,Artemis Fowl,Young-Age;Fantasy
224,Lauren Kate,Fallen,Young-Age;Fantasy;Romance;Horror
225,John Steinbeck,East of Eden  ,Romance;Fiction
226,Gillian Flynn,Dark Places,Thriller;Drama
227,John Grisham,The Client,Thriller;Drama;Fiction
228,"Emma McLaughlin, Nicola Kraus",The Nanny Diaries,Comedy;Drama
229,"Lewis Carroll, John Tenniel, Martin Gardner",Alice's Adventures in Wonderland,Kids;Fantasy
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",Persuasion,Classic;History;Romance
231,Tatiana de Rosnay,Elle s'appelait Sarah,History
232,Stephen King,The Gunslinger,Fantasy;Fiction
233,"Gabriel García Márquez, Edith Grossman",El amor en los tiempos del cólera,Romance;Fantasy
234,Laurie Halse Anderson,Speak,Young-Age;Drama
235,Liane Moriarty,The Husband's Secret ,Thriller
236,Jon Krakauer,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Biography;History
237,Stephen King,Carrie,Horror;Thriller;Drama;SciFi
238,Augusten Burroughs,Running with Scissors,Biography
239,Max Brooks,World War Z: An Oral History of the Zombie War,Horror;Fiction
240,Dan Brown,Inferno,Thriller;Fiction
241,Lois Lowry,Number the Stars,History;Fiction
242,James Patterson,Along Came a Spider,Crime;Thriller
243,Stephen King,Misery,Psychological;Horror
244,Gillian Flynn,Sharp Objects,Thriller;Fiction
245,Katherine Paterson,Bridge to Terabithia,Kids
246,"P.C. Cast, Kristin Cast",Marked,Young-Age;Romance
247,Stephen R. Covey,The 7 Habits of Highly Effective People,Self-Help
248,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",A Midsummer Night's Dream,Comedy;Fantasy
249,Jonathan Safran Foer,Extremely Loud and Incredibly Close,Fiction;History
250,R.J. Palacio,Wonder,Drama
251,Dr. Seuss,The Cat in the Hat,Kids
252,Marissa Meyer,Cinder,Fantasy;Romance
253,"Robert Galbraith, J.K. Rowling",The Cuckoo's Calling,Thriller;Fantasy
254,Maggie Stiefvater,Shiver,Fantasy
255,"Ayn Rand, Leonard Peikoff",Atlas Shrugged,Thriller;Romance;Fantasy
256,"Greg Mortenson, David Oliver Relin",Three Cups of Tea ,Biography
257,"Jane Carruth, Lewis Carroll, Rene Cloke",Alice in Wonderland,Fantasy;Drama
258,"Carlos Ruiz Zafón, Lucia Graves",La sombra del viento,Thriller;Fantasy
259,James Dashner,The Scorch Trials,Fantasy;Thriller
260,Dale Carnegie,How to Win Friends and Influence People,Self-Help
261,Frances Mayes,Under the Tuscan Sun,Romance;Self-Help
262,Liane Moriarty,Big Little Lies,Drama;Thriller
263,Gail Carson Levine,Ella Enchanted,Fiction
264,Ernest Hemingway,The Sun Also Rises,Fiction
265,Betty  Smith,A Tree Grows In Brooklyn ,Fiction
266,James Patterson,Kiss the Girls,Thriller
267,Kristin Hannah,The Nightingale,Fiction;Biography
268,Kazuo Ishiguro,Never Let Me Go,Drama
269,Cecelia Ahern,"PS, I Love You",Romance;Drama
270,"Daphne du Maurier, Sally Beauman",Rebecca,Thriller;Romance
271,Daniel Keyes,Flowers for Algernon,Fiction
272,"Laura Esquivel, Thomas  Christensen, Carol Christensen",Como agua para chocolate,Romance;Drama
273,Lisa See,Snow Flower and the Secret Fan,Fiction
274,"Mario Puzo, Robert Thompson, Peter Bart",The Godfather,Thriller;Drama
275,John Green,An Abundance of Katherines,Romance
276,Isaac Asimov,Foundation,Fiction
277,Neil Gaiman,The Ocean at the End of the Lane,Horror;Fantasy
278,Shel Silverstein,A Light in the Attic,Fantasy;Fiction
279,"John Tiffany, Jack Thorne, J.K. Rowling","Harry Potter and the Cursed Child, Parts One and Two",Fantasy;Fiction
280,Lauren Oliver,Delirium,Romance
281,John Grisham,The Pelican Brief,Thriller
282,Neil Gaiman,Coraline,Fantasy
283,"Terry Pratchett, Neil Gaiman","Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Fantasy
284,Jack Kerouac,On the Road,Fiction
285,Graeme Simsion,The Rosie Project,Romance
286,Nicholas Sparks,The Lucky One,Romance;Drama
287,"Ayn Rand, Leonard Peikoff",The Fountainhead,Fiction;Self-Help
288,Tom Clancy,The Hunt for Red October,Fiction;Thriller
289,Richard Adams,Watership Down,Fiction;Fantasy
290,Mindy Kaling,Is Everyone Hanging Out Without Me? (And Other Concerns),Biography
291,Abraham Verghese,Cutting for Stone,Fiction
292,"C.S. Lewis, Pauline Baynes",The Voyage of the Dawn Treader,Fantasy
293,Robert Louis Stevenson,Treasure Island,Kids;Fiction;Thriller
294,Rick Riordan,The Son of Neptune ,Fiction;Kids
295,Stephen King,11/22/1963,Fantasy
296,Eric Carle,The Very Hungry Caterpillar,Kids
297,Kurt Vonnegut Jr.,Cat's Cradle,Fiction
298,"H.G. Wells, Greg Bear, Carlo Pagetti",The Time Machine,Fantasy
299,"Todd Burpo, Lynn Vincent",Heaven is Real,Kids;Drama
300,John Boyne,The Boy in the Striped Pyjamas,Drama;History
301,Joseph Conrad,Heart of Darkness,History
302,Nicholas Sparks,Safe Haven,Drama;Romance
303,Rhonda Byrne,The Secret,Self-Help
304,Wally Lamb,I Know This Much Is True ,Fiction
305,Stephen King,Pet Sematary,Drama
306,Wally Lamb,She's Come Undone,Drama
307,Patrick Rothfuss,The Wise Man's Fear,Fantasy
308,Sophie Kinsella,Can You Keep a Secret?,Fiction;Drama
309,Cassandra Clare,City of Fallen Angels,Fantasy
310,Jennifer Weiner,Good in Bed,Fiction;Romance
311,Colleen McCullough,The Thorn Birds,Drama
312,"Neil Gaiman, Dave McKean",The Graveyard Book,Kids;Fantasy
313,M.L. Stedman,The Light Between Oceans,Drama;Romance
314,"Cornelia Funke, Anthea Bell",Tintenherz,Kids;Fantasy
315,"Spencer Johnson, Kenneth H. Blanchard",Who Moved My Cheese?,Fiction;Self-Help
316,Bill Bryson,A Walk in the Woods,Biography;Drama
317,Maya Angelou,I Know Why the Caged Bird Sings,Biography
318,Christina Baker Kline,Orphan Train,History;Fiction
319,Cassandra Clare,City of Lost Souls,Fantasy
320,Maria Semple,"Where'd You Go, Bernadette",Fiction
321,Wilson Rawls,Where the Red Fern Grows,Kids
322,Neil Gaiman,Neverwhere,Fantasy
323,"Milan Kundera, Michael Henry Heim",Nesnesitelná lehkost bytí,Fiction;Self-Help
324,Rainbow Rowell,Fangirl,Fiction;Kids
325,John Irving,A Prayer for Owen Meany,Fiction
326,Janet Fitch,White Oleander,Fiction;Drama
327,Marie Lu,Legend,Romance;Fantasy
328,Jodi Picoult,Nineteen Minutes,Thriller
329,"Randy Pausch, Jeffrey Zaslow",The Last Lecture,Self-Help;Academic
330,Robert Jordan,The Eye of the World,Kids;Fantasy;Fiction
331,Jodi Picoult,The Pact,Thriller;Horror
332,C.S. Lewis,The magician's nephew,Kids;Fantasy
333,Lisa Genova,Still Alice,Drama
334,Sylvia Day,Reflected in You,Romance;Erotic
335,"Roald Dahl, Quentin Blake",James and the Giant Peach,Fantasy
336,James Patterson,1st To Die,Thriller;Fiction
337,Douglas Adams,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,Fantasy;Fiction
338,David Nicholls,One Day,Drama;Romance
339,"Margaret Wise Brown, Clement Hurd",Goodnight Moon,Kids
340,Pittacus Lore,I Am Number Four,Romance;Fantasy
341,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",Ἰλιάς,Poetry
342,J.K. Rowling,The Casual Vacancy,Fiction;Drama
343,John Grisham,The Runaway Jury,Thriller;Fiction
344,David Sedaris,Naked,Fiction
345,Christopher Paolini,Eldest,Fantasy;Fiction
346,"L. Frank Baum, W.W. Denslow",The Wonderful Wizard of Oz,Kids;Drama
347,C.S. Lewis,Prince Caspian: The Return to Narnia,Kids;Fantasy
348,E. Lockhart,We Were Liars,Kids;Fiction
349,Stephen King,Salem's Lot,Horror;Fiction
350,"Hunter S. Thompson, Ralph Steadman",Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Drama
351,Cassandra Clare,Clockwork Prince,Kids;Fiction
352,Amy Poehler,Yes Please,Biography
353,William Shakespeare,"The Tragedy of Othello, The Moor of Venice",Classic
354,Toni Morrison,Beloved,Fiction;Fantasy
355,Kristin Cashore,Graceling,Fantasy;Romance;Fiction
356,"Lemony Snicket, Brett Helquist",The Bad Beginning,Fiction;Thriller
357,"Erich Maria Remarque, A.W. Wheen",Im Westen nichts Neues,History
358,Dr. Seuss,"Oh, the Places You'll Go!",Kids
359,Khaled Hosseini,And The Mountains Echoed,Fiction;History
360,"Philip K. Dick, Roger Zelazny",Do Androids Dream of Electric Sheep?,Fantasy;Fiction
361,"Charles Dickens, George Cruikshank, Philip Horne",Oliver Twist,Kids;Fiction
362,C.S. Lewis,A Grief Observed,Drama;History
363,Stephanie Perkins,Anna and the French Kiss,Fiction;Romance
364,Dr. Seuss,How the Grinch Stole Christmas!,Kids;Fantasy
365,"Alan Moore, David   Lloyd",V for Vendetta,Thriller
366,David McCullough,John Adams,Biography
367,Dean Koontz,Odd Thomas,Horror;Thriller
368,Philip Pullman,The Subtle Knife,Kids;Fantasy
369,Jerry Spinelli,Stargirl,Fiction;Romance
370,Rick Riordan,The Red Pyramid,Fantasy
371,Robert A. Heinlein,Stranger in a Strange Land,Fantasy
372,David Sedaris,Dress Your Family in Corduroy and Denim,Academic
373,"Roald Dahl, Quentin Blake",The BFG,Kids;Fiction
374,Bill Bryson,A Short History of Nearly Everything,History
375,Jack London,The Call of the Wild,Fiction
376,James Dashner,The Death Cure,Fantasy;Kids
377,Neil Gaiman,Stardust,Fantasy;Romance
378,Jhumpa Lahiri,The Namesake,Drama
379,Deborah Harkness,A Discovery of Witches,Fantasy;Romance;Fiction
380,"Haruki Murakami, Jay Rubin",ノルウェイの森 [Noruwei no Mori],Drama;Erotic
381,Billie Letts,Where the Heart Is,Drama;Romance
382,"John Green, David Levithan","Will Grayson, Will Grayson",Fiction;Kids;Romance
383,James Frey,A Million Little Pieces,Thriller
384,Richelle Mead,Frostbite,Thriller;Erotic
385,Susan Cain,Quiet: The Power of Introverts in a World that Can't Stop Talking,Self-Help
386,Scott O'Dell,Island of the Blue Dolphins,Kids
387,"Arthur Miller, Christopher Bigsby",The Crucible,Drama
388,Gary Paulsen,Hatchet,Classic;Fiction
389,Brandon Sanderson,Mistborn : The Final Empire,Fantasy;Fiction
390,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",The Strange Case of Dr Jekyll and Mr Hyde,Kids;Horror;Thriller;Fiction
391,Dr. Seuss,The Lorax,Kids
392,Jeff Kinney,Greg Heffley's Journal,Kids;Drama
393,Sarah J. Maas,Throne of Glass,Fiction;Romance
394,Richelle Mead,Shadow Kiss,Fantasy;Erotic
395,Ernest Hemingway,For Whom the Bell Tolls,History;Drama
396,Jamie Ford,Hotel on the Corner of Bitter and Sweet,History;Fiction
397,"Patrick Süskind, John E. Woods",Das Parfum. Die Geschichte eines Mörders,Drama;Fiction
398,Eric Schlosser,Fast Food Nation : The Dark Side of the All-American Meal ,Academic
399,J.K. Rowling,The Tales of Beedle the Bard,Kids;Fantasy;Fiction
400,William Gibson,Neuromancer,Fantasy
401,Ernest Hemingway,A Farewell to Arms,History;Fantasy
402,Edgar Allan Poe,The Tell-Tale Heart,Horror;Fiction
403,"Sun Tzu, Thomas Cleary",孫子兵法 [Sūnzi bīngfǎ],Self-Help;Fiction
404,William Landay,Defending Jacob,Thriller;Fiction
405,Kurt Vonnegut Jr.,Breakfast of Champions,History;Classic
406,Betty Edwards,Drawing on the Right Side of the Brain,Academic
407,Ann Patchett,Bel Canto,Thriller
408,Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies",Academic
409,Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe,Fiction
410,Chinua Achebe,Things Fall Apart,Academic;History
411,Sophie Kinsella,The Undomestic Goddess,Kids
412,Gary Chapman,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,History;Self-Help
413,Alexandre Dumas,Les Trois Mousquetaires,Classic;Kids
414,Chris Cleave,The Other Hand,Fiction
415,Alyson Noel,Evermore,Fantasy;Fiction
416,"Roald Dahl, Quentin Blake",The Witches,Kids;Fantasy
417,Diane Setterfield,The Thirteenth Tale,Thriller;Fiction
418,Richelle Mead,Spirit Bound,Romance;Fantasy;Erotic
419,Richelle Mead,Blood Promise,Romance;Erotic;Fantasy
420,Nicholas Sparks,Message in a Bottle,Romance;Drama
421,Paula McLain,The Paris Wife,Fiction
422,J.K. Rowling,Complete Harry Potter Boxed Set,Fantasy;Kids
423,Kiera Cass,The Elite,Fiction;Kids
424,"Umberto Eco, William Weaver, Seán Barrett",Il nome della rosa,History;Fiction
425,"Beatrice Sparks, Anonymous",Go Ask Alice,Self-Help;Fiction
426,"John Kennedy Toole, Walker Percy",A Confederacy of Dunces,Drama
